18	des	de	P+D	P+D	n=p	
19	cinquante	cinquante	ADJ	ADJ	s=card|n=p	
20	coups	coup	NC	NC	n=p|g=m	
21	et	et	CC	CC		
22	impossibilité	impossibilité	NC	NC	n=s|g=f	
23	de	de	P	P		
24	mater	mater	VINF	VINF	t=W	
25	.	.	PONCT	PONCT		

1	Un	un	DET	DET	n=s|g=m	
2	des	de	P+D	P+D	n=p	
3	objectifs	objectif	NC	NC	n=p|g=m	
4	des	de	P+D	P+D	n=p	
5	premiers	premier	ADJ	ADJ	n=p|g=m	
6	informaticiens	informaticien	NC	NC	n=p|g=m	
7	a	avoir	V	V	n=s|t=P|p=3	
8	été	être	VPP	VPP	t=K	
9	de	de	P	P		
10	mettre	mettre	VINF	VINF	t=W	
11	au	à	P+D	P+D	n=s|g=m	
12	point	point	NC	NC	n=s|g=m	
13	des	de	P+D	P+D	n=p	
14	machines	machine	NC	NC	n=p|g=f	
15	capables	capable	ADJ	ADJ	n=p	
16	de	de	P	P		
17	jouer	jouer	VINF	VINF	t=W	
18	aux	à	P+D	P+D	n=p	
19	échecs	échec	NC	NC	n=p|g=m	
20	.	.	PONCT	PONCT		

1	De	de	P	P		
2	nos	nos	DET	DET	n=p|p=1|poss=p	
3	jours	jour	NC	NC	n=p|g=m	
4	,	,	PONCT	PONCT		
5	le	le	DET	DET	n=s|g=m	
6	jeu	jeu	NC	NC	n=s|g=m	
7	est	être	V	V	n=s|t=P|p=3	
8	profondément	_	ADV	ADV		
9	influencé	influencer	VPP	VPP	n=s|g=m|t=K	
10	par	par	P	P		
11	les	les	DET	DET	n=p	
12	capacités	capacité	NC	NC	n=p|g=f	
13	des	de	P+D	P+D	n=p	
14	programmes	programme	NC	NC	n=p|g=m	
15	joueurs	joueur	NC	NC	n=p|g=m	
16	d'	de	P	P		
17	échecs	échec	NC	NC	n=p|g=m	
18	,	,	PONCT	PONCT		
19	ainsi	ainsi	ADV	ADV		
20	que	que	CS	CS		
21	par	par	P	P		
22	la	la	DET	DET	n=s|g=f	
23	possibilité	possibilité	NC	NC	n=s|g=f	
24	de	de	P	P		
25	jouer	jouer	VINF	VINF	t=W	
26	sur	sur	P	P		
27	Internet	_	NPP	NPP		
28	.	.	PONCT	PONCT		

1	En	en	P	P		
2	1997	1997	NC	NC		
3	,	,	PONCT	PONCT		
4	Deep	_	NPP	NPP		
5	Blue	_	NPP	NPP		
6	devient	devenir	V	V	n=s|t=P|p=3	
7	le	le	DET	DET	n=s|g=m	
8	premier	premier	ADJ	ADJ	n=s|g=m	
9	ordinateur	ordinateur	NC	NC	n=s|g=m	
10	à	à	P	P		
11	battre	battre	VINF	VINF	t=W	
12	un	un	DET	DET	n=s|g=m	
13	champion	champion	NC	NC	n=s|g=m	
14	du	de	P+D	P+D	n=s|g=m	
15	monde	monde	NC	NC	n=s|g=m	
16	en	en	P	P		
17	titre	titre	NC	NC	n=s|g=m	
18	dans	dans	P	P		
19	un	un	DET	DET	n=s|g=m	
20	match	match	NC	NC	n=s|g=m	
21	qui	qui	PROREL	PROREL	n=s	
22	l'	le	CLO	CLO	n=s|p=3	
23	oppose	opposer	V	V	n=s|t=P,S|p=1,3	
24	à	à	P	P		
25	Garry	Garry	NPP	NPP	n=s|g=m	
26	Kasparov	_	NPP	NPP		
27	.	.	PONCT	PONCT		

1	La	la	DET	DET	n=s|g=f	
2	composition	composition	NC	NC	n=s|g=f	
3	échiquéenne	_	ADJ	ADJ		
4	,	,	PONCT	PONCT		
5	la	la	DET	DET	n=s|g=f	
6	forme	forme	NC	NC	n=s|g=f	
7	artistique	artistique	ADJ	ADJ	n=s	
8	du	de	P+D	P+D	n=s|g=m	
9	jeu	jeu	NC	NC	n=s|g=m	
10	,	,	PONCT	PONCT		
11	a	avoir	V	V	n=s|t=P|p=3	
12	produit	produire	VPP	VPP	n=s|g=m|t=K	
13	des	des	DET	DET	n=p	
